id,name,amount,annual_rate,capital_valuation,risk_category,term_remaining,loan_term,ltv,your_net_instructions,mla_accrued_interest,your_total_holding,your_access_holdings,your_mla_holdings,units_available,last_updated,trading_status,next_payment_date,your_standard_notes,your_isa_notes
805,Elm House (UK) Ltd,825000,10,100,Default,1,78,48.29481,,,0.166692729,0.166692729,,0,2025-01-28 21:20:15 +08:00,credit event suspended,2025-01-24,,
791,Raeen Capital Limited,2007024.5,0,0,Default,0,57,69.20774138,,,1.859252178,1.859252178,,0,2025-01-13 18:43:12 +08:00,credit event suspended,2020-08-14,,
753,New Farm Developments Ltd Refinance,3336034.12,0,0,Default,0,76,70.82874989,,,3.901301385,3.901301385,,0,2024-10-29 16:43:09 +08:00,credit event suspended,2021-10-11,,
685,Tillingbourne (St Albans) Limited,2874313.96,0,0,Default,0,51,56.62557053,,,3.521936625,3.521936625,,0,2024-12-03 16:07:52 +08:00,credit event suspended,2020-05-11,,
531,Railroad Energy Ltd,857000,7.5,100,High,1,90,42.3336234,,,0.0500043682,0.0500043682,,0,2025-01-22 23:28:32 +08:00,credit event suspended,2022-07-23,,
508,McKibben Ltd,520000,0,0,Default,-8,80,12.80281775,,,0.1573197584,0.1573197584,,0,2024-11-14 20:07:57 +08:00,credit event suspended,2018-04-11,,
478,Ideal Residential Investment Ltd,1170000,0,0,Default,0,83,,,,4.897200717,4.897200717,,0,2024-09-05 20:58:04 +08:00,credit event suspended,2021-01-17,,
297,Steven Boyce Commercial Loan,82500,0,0,Default,1,96,50.8671,,,0.05287614251,0.05287614251,,0,2025-01-16 16:09:04 +08:00,credit event suspended,2019-12-06,,
229,Leeds BTL Loan No. 2,102400,0,0,Default,-4,71,60.38069831,,,0.06644737742,0.06644737742,,0,2024-09-05 21:37:28 +08:00,credit event suspended,2021-12-18,,
228,Leeds BTL Loan No.1,93600,0,0,Default,-4,71,59.20496,,,0.06644655695,0.06644655695,,0,2024-09-05 20:58:44 +08:00,credit event suspended,2021-12-18,,
191,Steven Boyce & Stephen Burke T/A Revels Bar,93750,0,0,Default,1,103,34.175984,,,0.00000001780199799,0.00000001780199799,,0,2024-04-24 20:48:12 +08:00,credit event suspended,2019-11-30,,
